IntensityIn IntensityOut Luminance
9.035409035409034534e-03 1.373311970702678075e-01 4.118296252562592130e+00
9.279609279609279601e-03 1.403830014496070810e-01 4.323308382110260695e+00
9.523809523809524669e-03 1.403830014496070810e-01 4.323308382110260695e+00
9.768009768009768001e-03 1.434348058289463546e-01 4.515327930185868865e+00
1.001221001221001133e-02 1.434348058289463546e-01 4.515327930185868865e+00
1.025641025641025640e-02 1.464866102082856558e-01 4.751395793390475575e+00
1.050061050061050147e-02 1.464866102082856558e-01 4.751395793390475575e+00
1.074481074481074480e-02 1.495384145876249293e-01 4.955047586641362578e+00
1.098901098901098813e-02 1.495384145876249293e-01 4.955047586641362578e+00
1.123321123321123320e-02 1.525902189669642306e-01 5.220760764165652823e+00
1.147741147741147827e-02 1.525902189669642306e-01 5.220760764165652823e+00
1.172161172161172160e-02 1.556420233463035041e-01 5.479498773937086398e+00
1.196581196581196493e-02 1.556420233463035041e-01 5.479498773937086398e+00
1.221001221001221000e-02 1.586938277256427776e-01 5.725731411592413167e+00
1.245421245421245507e-02 1.586938277256427776e-01 5.725731411592413167e+00
1.269841269841269840e-02 1.586938277256427776e-01 5.725731411592413167e+00
1.294261294261294173e-02 1.617456321049820789e-01 5.987483662368036086e+00
1.318681318681318680e-02 1.617456321049820789e-01 5.987483662368036086e+00
1.343101343101343187e-02 1.647974364843213524e-01 6.239971147078979818e+00
1.367521367521367520e-02 1.647974364843213524e-01 6.239971147078979818e+00
1.391941391941391853e-02 1.678492408636606259e-01 6.498437312382913333e+00
1.416361416361416360e-02 1.678492408636606259e-01 6.498437312382913333e+00
1.440781440781440867e-02 1.678492408636606259e-01 6.498437312382913333e+00
1.465201465201465200e-02 1.709010452429999272e-01 6.762410958880384015e+00
1.489621489621489533e-02 1.709010452429999272e-01 6.762410958880384015e+00
1.514041514041514040e-02 1.739528496223392007e-01 7.031486053075239440e+00
1.538461538461538547e-02 1.739528496223392007e-01 7.031486053075239440e+00
1.562881562881562880e-02 1.739528496223392007e-01 7.031486053075239440e+00
1.587301587301587213e-02 1.770046540016785019e-01 7.335485983537184396e+00
1.611721611721611547e-02 1.770046540016785019e-01 7.335485983537184396e+00
1.636141636141636227e-02 1.800564583810177754e-01 7.622519251429167753e+00
1.660561660561660560e-02 1.800564583810177754e-01 7.622519251429167753e+00
1.684981684981684893e-02 1.800564583810177754e-01 7.622519251429167753e+00
1.709401709401709574e-02 1.831082627603570490e-01 7.893879774953907358e+00
1.733821733821733907e-02 1.831082627603570490e-01 7.893879774953907358e+00
1.758241758241758240e-02 1.861600671396963502e-01 8.216467741942985015e+00
1.782661782661782574e-02 1.861600671396963502e-01 8.216467741942985015e+00
1.807081807081806907e-02 1.861600671396963502e-01 8.216467741942985015e+00
1.831501831501831587e-02 1.892118715190356237e-01 8.587843919658830316e+00
1.855921855921855920e-02 1.892118715190356237e-01 8.587843919658830316e+00
1.880341880341880254e-02 1.892118715190356237e-01 8.587843919658830316e+00
1.904761904761904934e-02 1.892118715190356237e-01 8.587843919658830316e+00
1.929181929181929267e-02 1.922636758983749250e-01 8.903167902023227498e+00
1.953601953601953600e-02 1.922636758983749250e-01 8.903167902023227498e+00
1.978021978021977934e-02 1.922636758983749250e-01 8.903167902023227498e+00
2.002442002442002267e-02 1.953154802777141985e-01 9.233688444496184644e+00
2.026862026862026947e-02 1.953154802777141985e-01 9.233688444496184644e+00
2.051282051282051280e-02 1.953154802777141985e-01 9.233688444496184644e+00
2.075702075702075614e-02 1.983672846570534720e-01 9.550073994532452204e+00
2.100122100122100294e-02 1.983672846570534720e-01 9.550073994532452204e+00
2.124542124542124627e-02 1.983672846570534720e-01 9.550073994532452204e+00
2.148962148962148960e-02 2.014190890363927733e-01 9.881152536784135521e+00
2.173382173382173294e-02 2.014190890363927733e-01 9.881152536784135521e+00
2.197802197802197627e-02 2.014190890363927733e-01 9.881152536784135521e+00
2.222222222222222307e-02 2.044708934157320468e-01 1.022213092461247896e+01
2.246642246642246640e-02 2.044708934157320468e-01 1.022213092461247896e+01
2.271062271062270974e-02 2.044708934157320468e-01 1.022213092461247896e+01
2.295482295482295654e-02 2.075226977950713481e-01 1.059587800199663832e+01
2.319902319902319987e-02 2.075226977950713481e-01 1.059587800199663832e+01
2.344322344322344320e-02 2.075226977950713481e-01 1.059587800199663832e+01
2.368742368742368654e-02 2.105745021744106216e-01 1.096584572906089505e+01
2.393162393162392987e-02 2.105745021744106216e-01 1.096584572906089505e+01
2.417582417582417667e-02 2.105745021744106216e-01 1.096584572906089505e+01
2.442002442002442000e-02 2.108949416342412453e-01 1.097496301476096470e+01
2.466422466422466334e-02 2.136263065537498951e-01 1.136410521305643684e+01
