Intensity Luminance
0.000000000000000000e+00 0.000000000000000000e+00
1.525902189669999963e-05 3.132506878710000081e-02
3.051804379339999925e-05 0.000000000000000000e+00
4.577706569009999888e-05 0.000000000000000000e+00
6.103608758679999850e-05 0.000000000000000000e+00
7.629510948349999813e-05 0.000000000000000000e+00
9.155413138019999775e-05 0.000000000000000000e+00
1.068131532770000015e-04 0.000000000000000000e+00
1.220721751740000134e-04 0.000000000000000000e+00
1.373311970699999979e-04 1.044168959570000027e-02
1.525902189669999963e-04 0.000000000000000000e+00
1.678492408639999946e-04 0.000000000000000000e+00
1.831082627600000062e-04 0.000000000000000000e+00
1.983672846570000046e-04 0.000000000000000000e+00
2.136263065540000030e-04 0.000000000000000000e+00
2.288853284499999874e-04 0.000000000000000000e+00
2.441443503470000129e-04 0.000000000000000000e+00
2.594033722440000113e-04 0.000000000000000000e+00
2.746623941410000097e-04 0.000000000000000000e+00
2.899214160369999941e-04 0.000000000000000000e+00
3.051804379339999925e-04 0.000000000000000000e+00
3.204394598309999909e-04 6.961126397129999664e-03
3.356984817269999754e-04 0.000000000000000000e+00
3.509575036239999737e-04 0.000000000000000000e+00
3.662165255210000263e-04 2.088337919140000054e-02
3.814755474170000108e-04 1.740281599280000049e-02
3.967345693140000092e-04 0.000000000000000000e+00
4.119935912110000075e-04 0.000000000000000000e+00
4.272526131069999920e-04 0.000000000000000000e+00
4.425116350039999904e-04 0.000000000000000000e+00
4.577706569009999888e-04 3.480563198559999925e-03
4.730296787979999871e-04 0.000000000000000000e+00
4.882887006940000258e-04 0.000000000000000000e+00
5.035477225909999700e-04 0.000000000000000000e+00
5.188067444880000226e-04 0.000000000000000000e+00
5.340657663840000071e-04 0.000000000000000000e+00
5.493247882809999512e-04 1.740281599280000049e-02
5.645838101780000038e-04 0.000000000000000000e+00
5.798428320739999883e-04 1.392225279430000032e-02
5.951018539710000409e-04 0.000000000000000000e+00
6.103608758679999850e-04 0.000000000000000000e+00
6.256198977650000376e-04 0.000000000000000000e+00
6.408789196610000221e-04 1.740281599280000049e-02
6.561379415579999663e-04 0.000000000000000000e+00
6.713969634550000188e-04 0.000000000000000000e+00
6.866559853510000033e-04 0.000000000000000000e+00
7.019150072479999475e-04 6.961126397129999664e-03
7.171740291450000001e-04 6.961126397129999664e-03
7.324330510409999846e-04 3.132506878710000081e-02
7.476920729380000371e-04 0.000000000000000000e+00
7.629510948349999813e-04 1.044168959570000027e-02
7.782101167320000339e-04 0.000000000000000000e+00
7.934691386280000184e-04 0.000000000000000000e+00
8.087281605249999625e-04 0.000000000000000000e+00
8.239871824220000151e-04 0.000000000000000000e+00
8.392462043179999996e-04 0.000000000000000000e+00
8.545052262150000522e-04 2.436394238990000072e-02
8.697642481119999963e-04 0.000000000000000000e+00
8.850232700079999808e-04 0.000000000000000000e+00
9.002822919050000334e-04 0.000000000000000000e+00
9.155413138019999775e-04 0.000000000000000000e+00
9.308003356979999620e-04 0.000000000000000000e+00
9.460593575950000146e-04 0.000000000000000000e+00
9.613183794919999588e-04 0.000000000000000000e+00
9.765774013889999029e-04 0.000000000000000000e+00
9.918364232849999958e-04 0.000000000000000000e+00
1.007095445180000021e-03 0.000000000000000000e+00
1.022354467079999952e-03 0.000000000000000000e+00
1.037613488980000101e-03 0.000000000000000000e+00
1.052872510870000002e-03 0.000000000000000000e+00
1.068131532769999933e-03 2.088337919140000054e-02
1.083390554670000082e-03 0.000000000000000000e+00
1.098649576559999983e-03 0.000000000000000000e+00
1.113908598459999915e-03 0.000000000000000000e+00
1.129167620360000063e-03 6.961126397129999664e-03
1.144426642249999964e-03 0.000000000000000000e+00
1.159685664149999896e-03 0.000000000000000000e+00
1.174944686050000044e-03 0.000000000000000000e+00
1.190203707939999946e-03 1.740281599280000049e-02
1.205462729840000094e-03 0.000000000000000000e+00
1.220721751740000026e-03 0.000000000000000000e+00
1.235980773629999927e-03 2.784450558850000076e-02
1.251239795530000075e-03 0.000000000000000000e+00
1.266498817430000007e-03 1.740281599280000049e-02
1.281757839319999908e-03 0.000000000000000000e+00
1.297016861220000056e-03 3.480563198559999925e-03
1.312275883119999988e-03 0.000000000000000000e+00
1.327534905010000106e-03 0.000000000000000000e+00
1.342793926910000038e-03 0.000000000000000000e+00
1.358052948809999969e-03 0.000000000000000000e+00
1.373311970700000087e-03 0.000000000000000000e+00
1.388570992600000019e-03 0.000000000000000000e+00
1.403830014499999950e-03 0.000000000000000000e+00
1.419089036390000069e-03 0.000000000000000000e+00
1.434348058290000000e-03 3.132506878710000081e-02
1.449607080189999932e-03 3.480563198559999925e-03
1.464866102080000050e-03 0.000000000000000000e+00
1.480125123979999981e-03 0.000000000000000000e+00
1.495384145879999913e-03 0.000000000000000000e+00
1.510643167770000031e-03 0.000000000000000000e+00
1.525902189669999963e-03 0.000000000000000000e+00
1.541161211569999894e-03 1.740281599280000049e-02
1.556420233460000012e-03 0.000000000000000000e+00
1.571679255359999944e-03 0.000000000000000000e+00
1.586938277260000092e-03 0.000000000000000000e+00
1.602197299149999993e-03 0.000000000000000000e+00
1.617456321049999925e-03 0.000000000000000000e+00
1.632715342950000073e-03 0.000000000000000000e+00
1.647974364839999975e-03 2.088337919140000054e-02
1.663233386739999906e-03 0.000000000000000000e+00
1.678492408640000055e-03 0.000000000000000000e+00
1.693751430529999956e-03 0.000000000000000000e+00
1.709010452430000104e-03 0.000000000000000000e+00
1.724269474330000036e-03 0.000000000000000000e+00
1.739528496219999937e-03 0.000000000000000000e+00
1.754787518120000086e-03 0.000000000000000000e+00
1.770046540020000017e-03 0.000000000000000000e+00
1.785305561909999918e-03 0.000000000000000000e+00
1.800564583810000067e-03 3.480563198559999925e-03
1.815823605709999998e-03 0.000000000000000000e+00
1.831082627599999900e-03 0.000000000000000000e+00
1.846341649500000048e-03 0.000000000000000000e+00
1.861600671399999980e-03 0.000000000000000000e+00
1.876859693290000098e-03 1.392225279430000032e-02
1.892118715190000029e-03 1.392225279430000032e-02
1.907377737089999961e-03 0.000000000000000000e+00
1.922636758980000079e-03 1.044168959570000027e-02
1.937895780880000010e-03 0.000000000000000000e+00
1.953154802779999942e-03 0.000000000000000000e+00
1.968413824669999843e-03 0.000000000000000000e+00
1.983672846569999992e-03 0.000000000000000000e+00
1.998931868470000140e-03 0.000000000000000000e+00
2.014190890360000041e-03 0.000000000000000000e+00
2.029449912260000190e-03 0.000000000000000000e+00
2.044708934159999904e-03 1.044168959570000027e-02
2.059967956049999806e-03 0.000000000000000000e+00
2.075226977949999954e-03 0.000000000000000000e+00
2.090485999850000103e-03 0.000000000000000000e+00
2.105745021740000004e-03 3.480563198559999925e-03
2.121004043640000152e-03 0.000000000000000000e+00
2.136263065539999867e-03 2.436394238990000072e-02
2.151522087430000202e-03 0.000000000000000000e+00
2.166781109329999917e-03 6.961126397129999664e-03
2.182040131230000065e-03 0.000000000000000000e+00
2.197299153119999966e-03 0.000000000000000000e+00
2.212558175020000115e-03 0.000000000000000000e+00
2.227817196919999829e-03 1.044168959570000027e-02
2.243076218810000164e-03 0.000000000000000000e+00
2.258335240709999879e-03 1.044168959570000027e-02
2.273594262610000027e-03 0.000000000000000000e+00
2.288853284499999929e-03 1.740281599280000049e-02
2.304112306400000077e-03 1.044168959570000027e-02
2.319371328299999792e-03 0.000000000000000000e+00
2.334630350190000127e-03 3.132506878710000081e-02
2.349889372089999841e-03 0.000000000000000000e+00
2.365148393989999990e-03 6.961126397129999664e-03
2.380407415879999891e-03 0.000000000000000000e+00
2.395666437780000040e-03 3.480563198559999925e-03
2.410925459680000188e-03 0.000000000000000000e+00
2.426184481570000089e-03 0.000000000000000000e+00
2.441443503469999804e-03 0.000000000000000000e+00
2.456702525369999952e-03 0.000000000000000000e+00
2.471961547259999854e-03 2.784450558850000076e-02
2.487220569160000002e-03 0.000000000000000000e+00
2.502479591060000150e-03 0.000000000000000000e+00
2.517738612950000052e-03 6.961126397129999664e-03
2.532997634850000200e-03 0.000000000000000000e+00
2.548256656749999915e-03 3.828619518419999757e-02
2.563515678639999816e-03 1.392225279430000032e-02
2.578774700539999964e-03 6.961126397129999664e-03
2.594033722440000113e-03 0.000000000000000000e+00
2.609292744339999828e-03 0.000000000000000000e+00
2.624551766230000163e-03 3.480563198559999925e-03
2.639810788129999877e-03 0.000000000000000000e+00
2.655069810030000026e-03 0.000000000000000000e+00
2.670328831919999927e-03 0.000000000000000000e+00
2.685587853820000075e-03 1.392225279430000032e-02
2.700846875719999790e-03 1.392225279430000032e-02
2.716105897610000125e-03 2.088337919140000054e-02
2.731364919509999840e-03 0.000000000000000000e+00
2.746623941409999988e-03 3.480563198559999925e-03
2.761882963299999889e-03 0.000000000000000000e+00
2.777141985200000038e-03 0.000000000000000000e+00
2.792401007100000186e-03 0.000000000000000000e+00
2.807660028990000087e-03 0.000000000000000000e+00
2.822919050889999802e-03 1.044168959570000027e-02
2.838178072789999951e-03 0.000000000000000000e+00
2.853437094679999852e-03 0.000000000000000000e+00
2.868696116580000000e-03 0.000000000000000000e+00
2.883955138480000149e-03 0.000000000000000000e+00
2.899214160370000050e-03 0.000000000000000000e+00
2.914473182270000198e-03 1.044168959570000027e-02
2.929732204169999913e-03 0.000000000000000000e+00
2.944991226059999814e-03 0.000000000000000000e+00
2.960250247959999963e-03 0.000000000000000000e+00
2.975509269860000111e-03 0.000000000000000000e+00
2.990768291750000012e-03 2.088337919140000054e-02
3.006027313650000161e-03 3.480563198559999925e-03
3.021286335549999875e-03 0.000000000000000000e+00
3.036545357440000210e-03 1.044168959570000027e-02
3.051804379339999925e-03 0.000000000000000000e+00
3.067063401240000074e-03 0.000000000000000000e+00
3.082322423129999975e-03 0.000000000000000000e+00
3.097581445030000123e-03 1.044168959570000027e-02
3.112840466929999838e-03 0.000000000000000000e+00
3.128099488820000173e-03 1.044168959570000027e-02
3.143358510719999888e-03 1.740281599280000049e-02
3.158617532620000036e-03 0.000000000000000000e+00
3.173876554509999937e-03 3.132506878710000081e-02
3.189135576410000086e-03 0.000000000000000000e+00
3.204394598309999800e-03 0.000000000000000000e+00
3.219653620200000135e-03 0.000000000000000000e+00
3.234912642099999850e-03 3.480563198559999925e-03
3.250171663999999998e-03 1.044168959570000027e-02
3.265430685889999900e-03 6.961126397129999664e-03
3.280689707790000048e-03 0.000000000000000000e+00
3.295948729690000197e-03 0.000000000000000000e+00
3.311207751580000098e-03 0.000000000000000000e+00
3.326466773479999813e-03 0.000000000000000000e+00
3.341725795379999961e-03 0.000000000000000000e+00
3.356984817269999862e-03 0.000000000000000000e+00
3.372243839170000011e-03 0.000000000000000000e+00
3.387502861070000159e-03 6.961126397129999664e-03
3.402761882960000060e-03 3.480563198559999925e-03
3.418020904860000209e-03 0.000000000000000000e+00
3.433279926759999923e-03 2.436394238990000072e-02
3.448538948649999825e-03 4.176675838280000108e-02
3.463797970549999973e-03 0.000000000000000000e+00
3.479056992450000121e-03 0.000000000000000000e+00
